api_base_url,model,label,prompt_file,concurrency,requests,max_tokens,temperature,timeout_sec,stream,non_streaming_ttft_equals_latency,ttft_note,success_count,failure_count,failure_rate,total_wall_time_sec,requests_per_sec,approx_total_output_tokens,approx_output_tokens_per_sec,latency_avg_sec,latency_min_sec,latency_max_sec,latency_p50_sec,latency_p90_sec,latency_p95_sec,latency_p99_sec,ttft_avg_sec,ttft_min_sec,ttft_max_sec,ttft_p50_sec,ttft_p90_sec,ttft_p95_sec,ttft_p99_sec,per_request_tokens_per_sec_avg,generated_at_utc,errors_top_5_json
https://mv4dfc2mn9l8zc-8000.proxy.runpod.net/v1,qwen3.6-35b-a3b-awq,T01_smoke_short_stream,/Users/ajiththaduri/Desktop/Qwen-AMD-Optimised/results/loadtests/prompts/short_prompt.txt,1,1,100,0.0,900.0,True,False,Streaming: TTFT is time to first non-empty delta; time_to_last_token_sec is decode duration (first token to stream end).,1,0,0.0,1.372259,0.7287,90,65.5853,1.371722,1.371722,1.371722,1.371722,1.371722,1.371722,1.371722,0.543414,0.543414,0.543414,0.543414,0.543414,0.543414,0.543414,65.611,2026-05-13T12:38:00.837536+00:00,[]
https://mv4dfc2mn9l8zc-8000.proxy.runpod.net/v1,qwen3.6-35b-a3b-awq,T02_smoke_medium_stream,/Users/ajiththaduri/Desktop/Qwen-AMD-Optimised/results/loadtests/prompts/medium_prompt.txt,1,3,256,0.0,900.0,True,False,Streaming: TTFT is time to first non-empty delta; time_to_last_token_sec is decode duration (first token to stream end).,3,0,0.0,8.965178,0.3346,855,95.369,2.988156,2.507696,3.274203,3.18257,3.255876,3.26504,3.27237,0.811027,0.285981,1.099562,1.047537,1.089157,1.094359,1.098521,96.5109,2026-05-13T12:38:20.178332+00:00,[]
https://mv4dfc2mn9l8zc-8000.proxy.runpod.net/v1,qwen3.6-35b-a3b-awq,T03_medium_c5_r20_s256,/Users/ajiththaduri/Desktop/Qwen-AMD-Optimised/results/loadtests/prompts/medium_prompt.txt,5,20,256,0.0,900.0,True,False,Streaming: TTFT is time to first non-empty delta; time_to_last_token_sec is decode duration (first token to stream end).,20,0,0.0,22.32089,0.896,5771,258.547,5.514536,5.129701,6.021309,5.356451,6.011119,6.014352,6.019918,0.522141,0.311297,0.86149,0.483795,0.858867,0.860081,0.861208,52.5058,2026-05-13T12:38:52.915856+00:00,[]
https://mv4dfc2mn9l8zc-8000.proxy.runpod.net/v1,qwen3.6-35b-a3b-awq,T04_medium_c10_r30_s256,/Users/ajiththaduri/Desktop/Qwen-AMD-Optimised/results/loadtests/prompts/medium_prompt.txt,10,30,256,0.0,900.0,True,False,Streaming: TTFT is time to first non-empty delta; time_to_last_token_sec is decode duration (first token to stream end).,30,0,0.0,19.895604,1.5079,8577,431.1003,6.551552,5.878497,7.108145,6.381617,7.094202,7.095715,7.104616,0.531089,0.327358,0.851158,0.446536,0.842265,0.844813,0.849461,43.7697,2026-05-13T12:39:23.160253+00:00,[]
https://mv4dfc2mn9l8zc-8000.proxy.runpod.net/v1,qwen3.6-35b-a3b-awq,T05_medium_c20_r40_s256,/Users/ajiththaduri/Desktop/Qwen-AMD-Optimised/results/loadtests/prompts/medium_prompt.txt,20,40,256,0.0,900.0,True,False,Streaming: TTFT is time to first non-empty delta; time_to_last_token_sec is decode duration (first token to stream end).,40,0,0.0,11.813258,3.386,11390,964.1709,5.715226,5.020017,6.003201,5.781579,5.920946,5.926386,5.974847,0.783384,0.389747,1.049749,0.867749,0.968464,0.970846,1.020244,49.9128,2026-05-13T12:39:45.381291+00:00,[]
https://mv4dfc2mn9l8zc-8000.proxy.runpod.net/v1,qwen3.6-35b-a3b-awq,T06_medium_c50_r50_s256,/Users/ajiththaduri/Desktop/Qwen-AMD-Optimised/results/loadtests/prompts/medium_prompt.txt,50,50,256,0.0,900.0,True,False,Streaming: TTFT is time to first non-empty delta; time_to_last_token_sec is decode duration (first token to stream end).,50,0,0.0,6.269946,7.9745,14275,2276.734,6.067787,5.629032,6.185288,6.118902,6.135355,6.140549,6.164942,0.96924,0.445435,1.089192,1.058054,1.074949,1.080439,1.087912,47.0816,2026-05-13T12:40:02.063077+00:00,[]
https://mv4dfc2mn9l8zc-8000.proxy.runpod.net/v1,qwen3.6-35b-a3b-awq,T07_large_c10_r20_s512,/Users/ajiththaduri/Desktop/Qwen-AMD-Optimised/results/loadtests/prompts/large_prompt.txt,10,20,512,0.0,900.0,True,False,Streaming: TTFT is time to first non-empty delta; time_to_last_token_sec is decode duration (first token to stream end).,20,0,0.0,24.555018,0.8145,10744,437.548,12.216923,12.04323,12.474552,12.213641,12.352822,12.360556,12.451753,0.591695,0.501694,0.787006,0.587755,0.664933,0.672417,0.764088,43.9789,2026-05-13T12:40:37.046597+00:00,[]
https://mv4dfc2mn9l8zc-8000.proxy.runpod.net/v1,qwen3.6-35b-a3b-awq,T08_large_c20_r20_s512,/Users/ajiththaduri/Desktop/Qwen-AMD-Optimised/results/loadtests/prompts/large_prompt.txt,20,20,512,0.0,900.0,True,False,Streaming: TTFT is time to first non-empty delta; time_to_last_token_sec is decode duration (first token to stream end).,20,0,0.0,9.639031,2.0749,10707,1110.7964,9.341763,9.312251,9.497626,9.324466,9.348702,9.465668,9.491234,0.552723,0.514595,0.919606,0.526672,0.55059,0.673911,0.870467,57.3081,2026-05-13T12:40:57.130607+00:00,[]
https://mv4dfc2mn9l8zc-8000.proxy.runpod.net/v1,qwen3.6-35b-a3b-awq,T09_large_c50_r50_s512,/Users/ajiththaduri/Desktop/Qwen-AMD-Optimised/results/loadtests/prompts/large_prompt.txt,50,50,512,0.0,900.0,True,False,Streaming: TTFT is time to first non-empty delta; time_to_last_token_sec is decode duration (first token to stream end).,50,0,0.0,10.504865,4.7597,26741,2545.5825,10.208546,9.940667,10.502852,10.368776,10.374521,10.378091,10.442894,0.806362,0.522346,1.123083,0.981603,0.99407,0.997664,1.062696,52.4103,2026-05-13T12:41:18.055125+00:00,[]
https://mv4dfc2mn9l8zc-8000.proxy.runpod.net/v1,qwen3.6-35b-a3b-awq,T10_reasoning_c10_r20_s768,/Users/ajiththaduri/Desktop/Qwen-AMD-Optimised/results/loadtests/prompts/reasoning_prompt.txt,10,20,768,0.0,900.0,True,False,Streaming: TTFT is time to first non-empty delta; time_to_last_token_sec is decode duration (first token to stream end).,20,0,0.0,41.529497,0.4816,12195,293.6467,20.714539,20.4585,21.035871,20.710013,20.937727,20.942914,21.01728,0.574662,0.531031,0.644412,0.592909,0.619814,0.621538,0.639837,29.4362,2026-05-13T12:42:09.923418+00:00,[]
https://mv4dfc2mn9l8zc-8000.proxy.runpod.net/v1,qwen3.6-35b-a3b-awq,T11_reasoning_c20_r20_s768,/Users/ajiththaduri/Desktop/Qwen-AMD-Optimised/results/loadtests/prompts/reasoning_prompt.txt,20,20,768,0.0,900.0,True,False,Streaming: TTFT is time to first non-empty delta; time_to_last_token_sec is decode duration (first token to stream end).,20,0,0.0,16.16329,1.2374,12283,759.9319,16.022479,16.010655,16.16128,16.01261,16.024237,16.035156,16.136055,0.537616,0.524202,0.673315,0.528787,0.539216,0.55256,0.649164,38.3301,2026-05-13T12:42:36.551022+00:00,[]
https://mv4dfc2mn9l8zc-8000.proxy.runpod.net/v1,qwen3.6-35b-a3b-awq,T12_coding_c5_r10_s1024,/Users/ajiththaduri/Desktop/Qwen-AMD-Optimised/results/loadtests/prompts/coding_prompt.txt,5,10,1024,0.0,900.0,True,False,Streaming: TTFT is time to first non-empty delta; time_to_last_token_sec is decode duration (first token to stream end).,10,0,0.0,44.014733,0.2272,10167,230.9908,21.963584,21.777313,22.218889,21.952188,22.133902,22.176396,22.21039,0.609896,0.576874,0.711878,0.604001,0.628096,0.669987,0.7035,46.2907,2026-05-13T12:43:30.897722+00:00,[]
https://mv4dfc2mn9l8zc-8000.proxy.runpod.net/v1,qwen3.6-35b-a3b-awq,T13_coding_c10_r20_s1024,/Users/ajiththaduri/Desktop/Qwen-AMD-Optimised/results/loadtests/prompts/coding_prompt.txt,10,20,1024,0.0,900.0,True,False,Streaming: TTFT is time to first non-empty delta; time_to_last_token_sec is decode duration (first token to stream end).,20,0,0.0,52.753176,0.3791,20386,386.4412,26.308136,26.047962,26.66877,26.302699,26.539346,26.545956,26.644207,0.593074,0.547557,0.739427,0.58651,0.60338,0.610209,0.713583,38.7448,2026-05-13T12:44:34.116213+00:00,[]
https://mv4dfc2mn9l8zc-8000.proxy.runpod.net/v1,qwen3.6-35b-a3b-awq,T14_medium_c10_r20_s256_nostream,/Users/ajiththaduri/Desktop/Qwen-AMD-Optimised/results/loadtests/prompts/medium_prompt.txt,10,20,256,0.0,900.0,False,True,Non-streaming: time_to_first_token_sec equals full response latency by convention.,20,0,0.0,13.067451,1.5305,5743,439.4889,6.468594,6.423653,6.584442,6.477905,6.495864,6.502222,6.567998,6.468594,6.423653,6.584442,6.477905,6.495864,6.502222,6.567998,44.3931,2026-05-13T12:44:57.620093+00:00,[]
https://mv4dfc2mn9l8zc-8000.proxy.runpod.net/v1,qwen3.6-35b-a3b-awq,T15_large_c10_r20_s512_nostream,/Users/ajiththaduri/Desktop/Qwen-AMD-Optimised/results/loadtests/prompts/large_prompt.txt,10,20,512,0.0,900.0,False,True,Non-streaming: time_to_first_token_sec equals full response latency by convention.,20,0,0.0,24.524818,0.8155,10716,436.9451,12.198958,12.088691,12.305341,12.244554,12.290151,12.30147,12.304567,12.198958,12.088691,12.305341,12.244554,12.290151,12.30147,12.304567,43.924,2026-05-13T12:45:32.565684+00:00,[]
